Year,Trendline,Observation
1980,Unsmoothed index,100.0
1981,Unsmoothed index,99.56
1982,Unsmoothed index,99.54
1983,Unsmoothed index,99.84
1984,Unsmoothed index,100.74
1985,Unsmoothed index,101.97
1986,Unsmoothed index,103.16
1987,Unsmoothed index,104.12
1988,Unsmoothed index,103.27
1989,Unsmoothed index,101.55
1990,Unsmoothed index,99.86
1991,Unsmoothed index,99.09
1992,Unsmoothed index,99.25
1993,Unsmoothed index,99.9
1994,Unsmoothed index,100.68
1995,Unsmoothed index,100.57
1996,Unsmoothed index,99.67
1997,Unsmoothed index,98.35
1998,Unsmoothed index,97.04
1999,Unsmoothed index,96.15
2000,Unsmoothed index,95.35
2001,Unsmoothed index,94.66
2002,Unsmoothed index,94.47
2003,Unsmoothed index,94.52
2004,Unsmoothed index,94.33
2005,Unsmoothed index,94.32
2006,Unsmoothed index,94.26
2007,Unsmoothed index,93.65
2008,Unsmoothed index,92.86
2009,Unsmoothed index,91.66
2010,Unsmoothed index,89.89
2011,Unsmoothed index,87.87
2012,Unsmoothed index,86.09
2013,Unsmoothed index,84.71
2014,Unsmoothed index,83.55
2015,Unsmoothed index,82.66
2016,Unsmoothed index,81.7
2017,Unsmoothed index,80.64
2018,Unsmoothed index,79.69
2019,Unsmoothed index,78.87
1980,90% credible interval lower bound,100.0
1981,90% credible interval lower bound,98.55
1982,90% credible interval lower bound,98.23
1983,90% credible interval lower bound,98.48
1984,90% credible interval lower bound,99.41
1985,90% credible interval lower bound,100.64
1986,90% credible interval lower bound,101.78
1987,90% credible interval lower bound,102.64
1988,90% credible interval lower bound,101.76
1989,90% credible interval lower bound,100.12
1990,90% credible interval lower bound,98.33
1991,90% credible interval lower bound,97.52
1992,90% credible interval lower bound,97.82
1993,90% credible interval lower bound,98.54
1994,90% credible interval lower bound,99.26
1995,90% credible interval lower bound,99.05
1996,90% credible interval lower bound,98.28
1997,90% credible interval lower bound,96.97
1998,90% credible interval lower bound,95.74
1999,90% credible interval lower bound,94.9
2000,90% credible interval lower bound,94.07
2001,90% credible interval lower bound,93.38
2002,90% credible interval lower bound,93.2
2003,90% credible interval lower bound,93.24
2004,90% credible interval lower bound,93.04
2005,90% credible interval lower bound,93.09
2006,90% credible interval lower bound,92.97
2007,90% credible interval lower bound,92.4
2008,90% credible interval lower bound,91.67
2009,90% credible interval lower bound,90.41
2010,90% credible interval lower bound,88.67
2011,90% credible interval lower bound,86.72
2012,90% credible interval lower bound,84.89
2013,90% credible interval lower bound,83.53
2014,90% credible interval lower bound,82.42
2015,90% credible interval lower bound,81.56
2016,90% credible interval lower bound,80.54
2017,90% credible interval lower bound,79.42
2018,90% credible interval lower bound,78.41
2019,90% credible interval lower bound,77.17
1980,90% credible interval upper bound,100.0
1981,90% credible interval upper bound,100.61
1982,90% credible interval upper bound,100.88
1983,90% credible interval upper bound,101.26
1984,90% credible interval upper bound,102.12
1985,90% credible interval upper bound,103.32
1986,90% credible interval upper bound,104.59
1987,90% credible interval upper bound,105.64
1988,90% credible interval upper bound,104.77
1989,90% credible interval upper bound,102.93
1990,90% credible interval upper bound,101.41
1991,90% credible interval upper bound,100.72
1992,90% credible interval upper bound,100.71
1993,90% credible interval upper bound,101.24
1994,90% credible interval upper bound,102.13
1995,90% credible interval upper bound,102.02
1996,90% credible interval upper bound,101.16
1997,90% credible interval upper bound,99.82
1998,90% credible interval upper bound,98.46
1999,90% credible interval upper bound,97.52
2000,90% credible interval upper bound,96.6
2001,90% credible interval upper bound,95.95
2002,90% credible interval upper bound,95.76
2003,90% credible interval upper bound,95.79
2004,90% credible interval upper bound,95.56
2005,90% credible interval upper bound,95.58
2006,90% credible interval upper bound,95.56
2007,90% credible interval upper bound,94.91
2008,90% credible interval upper bound,94.12
2009,90% credible interval upper bound,92.94
2010,90% credible interval upper bound,91.11
2011,90% credible interval upper bound,89.03
2012,90% credible interval upper bound,87.29
2013,90% credible interval upper bound,85.88
2014,90% credible interval upper bound,84.65
2015,90% credible interval upper bound,83.81
2016,90% credible interval upper bound,82.88
2017,90% credible interval upper bound,81.9
2018,90% credible interval upper bound,81.03
2019,90% credible interval upper bound,80.67
